epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.484,0.04972,1.0976,0.91318,0.55058,0.74086,0.69692,0.68586,0.24691,1.0487,0.29417,0.0668556,0.000166555,0.000166555
2,512.949,0.04599,0.94393,0.91489,0.47374,0.75384,0.6418,0.63629,0.19864,1.12408,0.24918,0.0336724,0.000316727,0.000316727
3,745.74,0.04801,0.89793,0.91431,0.45218,0.77221,0.63198,0.62994,0.22266,1.2112,0.26963,0.000472741,0.000450399,0.000450399
4,977.529,0.04925,0.84901,0.91312,0.42886,0.7774,0.61483,0.61377,0.20976,1.27283,0.26328,0.00042575,0.00042575,0.00042575
5,1206.38,0.04689,0.81163,0.9117,0.44058,0.7849,0.6196,0.61844,0.1846,1.20206,0.23755,0.000401,0.000401,0.000401
6,1431.27,0.04631,0.78772,0.91355,0.44729,0.77862,0.62413,0.62217,0.19153,1.18767,0.24248,0.00037625,0.00037625,0.00037625
7,1658.13,0.04515,0.73842,0.91134,0.46807,0.7718,0.62552,0.62506,0.18792,1.18522,0.2422,0.0003515,0.0003515,0.0003515
8,1886.08,0.04405,0.71546,0.91227,0.46081,0.77382,0.62073,0.6201,0.19724,1.25561,0.24937,0.00032675,0.00032675,0.00032675
9,2110.17,0.04227,0.68739,0.91345,0.47061,0.787,0.62011,0.61839,0.20354,1.1897,0.25315,0.000302,0.000302,0.000302
10,2336,0.04266,0.66661,0.91033,0.45003,0.77828,0.62464,0.62438,0.17883,1.20384,0.23459,0.00027725,0.00027725,0.00027725
11,2562.41,0.02641,0.60161,0.91801,0.45702,0.78541,0.62663,0.62539,0.1936,1.26276,0.24483,0.0002525,0.0002525,0.0002525
12,2787.65,0.0255,0.57329,0.91686,0.48717,0.78123,0.64831,0.64663,0.20199,1.19699,0.25159,0.00022775,0.00022775,0.00022775
13,3011.48,0.02417,0.55189,0.91606,0.46974,0.77818,0.63333,0.63137,0.20833,1.25385,0.25722,0.000203,0.000203,0.000203
14,3231.9,0.02371,0.54544,0.91794,0.48916,0.77056,0.64549,0.64369,0.20253,1.22992,0.25289,0.00017825,0.00017825,0.00017825
15,3453.24,0.02357,0.52041,0.91578,0.47521,0.774,0.64492,0.64271,0.20324,1.23601,0.25302,0.0001535,0.0001535,0.0001535
16,3674.52,0.02293,0.51063,0.91425,0.46644,0.78366,0.63207,0.6294,0.21293,1.28426,0.26272,0.00012875,0.00012875,0.00012875
17,3894.68,0.02264,0.49438,0.9171,0.4826,0.78969,0.64964,0.64665,0.20948,1.27065,0.25948,0.000104,0.000104,0.000104
18,4116.9,0.02246,0.48101,0.91468,0.47526,0.77631,0.63437,0.63184,0.21138,1.30977,0.26094,7.925e-05,7.925e-05,7.925e-05
19,4339.09,0.02218,0.4749,0.91539,0.46762,0.77558,0.63273,0.62982,0.20714,1.31132,0.25679,5.45e-05,5.45e-05,5.45e-05
20,4562.12,0.02184,0.46262,0.91589,0.47415,0.77523,0.63642,0.63327,0.20987,1.30208,0.25956,2.975e-05,2.975e-05,2.975e-05
