epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.402,0.89618,2.2474,1.17112,0.2086,0.43907,0.2443,0.17815,0.91546,1.78941,0.82704,0.0670049,0.000333284,0.000333284
2,1480.73,0.7762,1.61847,1.09022,0.36459,0.42629,0.36652,0.28342,0.86811,1.55217,0.79362,0.0339829,0.000644619,0.000644619
3,2140.8,0.75029,1.45918,1.07281,0.43475,0.44192,0.43365,0.33955,0.85016,1.44506,0.78542,0.000938871,0.000933954,0.000933954
4,2791.53,0.73762,1.36628,1.06338,0.49582,0.4745,0.4929,0.38852,0.83174,1.36877,0.76801,0.000901,0.000901,0.000901
5,3447.14,0.72151,1.29888,1.05588,0.51939,0.48792,0.51447,0.40843,0.8294,1.33181,0.76459,0.000868,0.000868,0.000868
6,4104.83,0.71215,1.25149,1.05153,0.53066,0.50162,0.52996,0.42149,0.82416,1.30618,0.76234,0.000835,0.000835,0.000835
7,4762.33,0.70343,1.21851,1.04682,0.546,0.50413,0.54099,0.43138,0.82039,1.29192,0.75896,0.000802,0.000802,0.000802
8,5416.65,0.699,1.1934,1.04568,0.54161,0.52102,0.54876,0.43835,0.81793,1.27998,0.7575,0.000769,0.000769,0.000769
9,6060.61,0.6942,1.16907,1.04296,0.55028,0.52261,0.55419,0.44282,0.81642,1.27227,0.7565,0.000736,0.000736,0.000736
10,6713.74,0.69037,1.15166,1.03997,0.55792,0.52428,0.55905,0.4471,0.81503,1.26609,0.75532,0.000703,0.000703,0.000703
11,7369.06,0.68583,1.13537,1.0389,0.56467,0.52518,0.56376,0.45147,0.8131,1.25939,0.75398,0.00067,0.00067,0.00067
12,8024.89,0.67888,1.12323,1.0362,0.56286,0.53037,0.56855,0.45574,0.8115,1.25279,0.75297,0.000637,0.000637,0.000637
13,8678.31,0.67783,1.10824,1.03436,0.56532,0.53358,0.57302,0.46,0.81034,1.24625,0.75188,0.000604,0.000604,0.000604
14,9326.44,0.67342,1.09772,1.03219,0.57164,0.5332,0.57691,0.46363,0.80942,1.24075,0.75094,0.000571,0.000571,0.000571
15,9976.62,0.67192,1.0846,1.03073,0.57827,0.53407,0.58033,0.46697,0.80854,1.23576,0.75004,0.000538,0.000538,0.000538
16,10628.1,0.66884,1.07455,1.03083,0.5801,0.53726,0.58432,0.47054,0.80817,1.23023,0.7495,0.000505,0.000505,0.000505
17,11282.1,0.6658,1.06605,1.02778,0.58272,0.54069,0.58789,0.47384,0.80664,1.22529,0.74867,0.000472,0.000472,0.000472
18,11933.8,0.66144,1.05315,1.02913,0.58163,0.54478,0.59069,0.47645,0.80573,1.22094,0.74799,0.000439,0.000439,0.000439
19,12590.9,0.66261,1.04422,1.02632,0.58062,0.54927,0.59359,0.47955,0.80521,1.21615,0.74734,0.000406,0.000406,0.000406
20,13232.1,0.65813,1.03626,1.02511,0.57866,0.55485,0.59609,0.48203,0.80414,1.21211,0.7463,0.000373,0.000373,0.000373
21,13890.1,0.65746,1.02937,1.02409,0.5832,0.55614,0.59859,0.48465,0.80317,1.20856,0.74541,0.00034,0.00034,0.00034
22,14547.8,0.65498,1.01881,1.02428,0.59421,0.55058,0.60141,0.48727,0.80262,1.20422,0.74484,0.000307,0.000307,0.000307
23,15208.2,0.65215,1.0114,1.02271,0.60443,0.54292,0.6033,0.48923,0.80161,1.20047,0.74422,0.000274,0.000274,0.000274
24,15870.4,0.64985,1.00195,1.02105,0.60877,0.54161,0.60535,0.49099,0.80087,1.1974,0.74354,0.000241,0.000241,0.000241
25,16524.7,inf,0.99825,1.02056,0.60862,0.54334,0.60753,0.49265,0.79979,1.19415,0.7428,0.000208,0.000208,0.000208
26,17184.5,0.64607,0.98958,1.02092,0.61177,0.54312,0.60894,0.49432,0.79867,1.19156,0.74215,0.000175,0.000175,0.000175
27,17843.2,0.6442,0.98146,1.01979,0.61579,0.5412,0.61007,0.49564,0.79799,1.18906,0.74172,0.000142,0.000142,0.000142
28,18501,0.64162,0.97492,1.01903,0.61469,0.54303,0.61161,0.49725,0.79762,1.18706,0.74154,0.000109,0.000109,0.000109
29,19159.5,0.63939,0.96603,1.01696,0.61585,0.54283,0.61285,0.49823,0.79764,1.18581,0.74144,7.6e-05,7.6e-05,7.6e-05
30,19821,inf,0.96134,1.01717,0.61421,0.54532,0.61381,0.49885,0.79747,1.18504,0.74122,4.3e-05,4.3e-05,4.3e-05
