epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2935.78,0.03189,0.44444,0.90517,0.72008,0.79052,0.83126,0.8254,0.2257,0.75069,0.27523,0.0667176,3.33157e-05,3.33157e-05
2,3235.38,0.02967,0.43023,0.90198,0.76321,0.74681,0.83384,0.82826,0.22611,0.7272,0.27325,0.033411,6.00508e-05,6.00508e-05
3,3529.57,0.02824,0.4291,0.90151,0.74114,0.76386,0.83132,0.82793,0.21327,0.72228,0.26132,9.78319e-05,8.01858e-05,8.01858e-05
4,3825.66,0.02726,0.4168,0.9026,0.74525,0.76128,0.82808,0.82249,0.2286,0.73642,0.2738,7.03e-05,7.03e-05,7.03e-05
5,4118.35,0.02623,0.40389,0.90303,0.74378,0.76257,0.83203,0.8262,0.23981,0.73844,0.28628,6.04e-05,6.04e-05,6.04e-05
6,4411.01,0.02579,0.39315,0.89801,0.74682,0.764,0.83111,0.82452,0.24585,0.73536,0.2921,5.05e-05,5.05e-05,5.05e-05
7,4705.41,0.02548,0.38241,0.89845,0.74491,0.77116,0.83393,0.82726,0.24902,0.7313,0.29523,4.06e-05,4.06e-05,4.06e-05
8,5001.89,0.02473,0.37613,0.90082,0.75968,0.75585,0.83503,0.82841,0.24562,0.729,0.29117,3.07e-05,3.07e-05,3.07e-05
9,5298.44,0.02451,0.37332,0.90105,0.74453,0.77522,0.83623,0.83002,0.24459,0.73406,0.29066,2.08e-05,2.08e-05,2.08e-05
10,5592.14,0.02395,0.36309,0.90208,0.74066,0.7766,0.83515,0.82852,0.24767,0.73707,0.29367,1.09e-05,1.09e-05,1.09e-05
